"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every"
2020-04-06,19,0,2,2,15,10.526316,10.526316,0.00011130573341691027,898426,8535050
2020-04-05,19,18.75,2,2,15,10.526316,10.526316,0.00011130573341691027,898426,8535050
2020-04-04,16,0,2,2,12,12.5,12.5,9.37311439300297e-05,1066881,8535050
2020-04-03,16,0,0,2,14,0,12.5,9.37311439300297e-05,1066881,8535050
2020-04-02,16,60,0,2,14,0,12.5,9.37311439300297e-05,1066881,8535050
2020-04-01,10,0,0,2,8,0,20,5.858196495626856e-05,1707010,8535050
2020-03-31,10,0,0,2,8,0,20,5.858196495626856e-05,1707010,8535050
2020-03-30,10,11.111111,0,2,8,0,20,5.858196495626856e-05,1707010,8535050
2020-03-29,9,80,0,1,8,0,11.111111,5.272376846064171e-05,1896678,17070100
2020-03-28,5,0,0,0,5,0,0,2.929098247813428e-05,3414020,
2020-03-27,5,0,0,0,5,0,0,2.929098247813428e-05,3414020,
2020-03-26,5,0,0,0,5,0,0,2.929098247813428e-05,3414020,
2020-03-25,5,400,0,0,5,0,0,2.929098247813428e-05,3414020,
2020-03-24,1,0,0,0,1,0,0,5.858196495626857e-06,17070100,
2020-03-23,1,0,0,0,1,0,0,5.858196495626857e-06,17070100,
2020-03-22,1,,0,0,1,0,0,5.858196495626857e-06,17070100,

